delivery_delay_delta,transit_speed_kmh,discount_rate_normalized,profit_ratio,shipping_mode_encoded,order_item_quantity_norm,price_deviation_score,benefit_ratio,is_fraud
1,118.74870679736857,0.28,0.270000011,0.0,0.2,0.0,0.92329142360823,0
2,135.11981031651126,0.360000016,0.079999998,0.33,0.2,0.0,0.8670366920146046,0
1,247.58604997097595,0.400000004,0.059999999,0.33,0.2,0.0,0.8626530846167265,0
0,266.19359774521683,0.479999988,0.310000002,0.33,0.2,0.0,0.9307820376805672,1
4,123.8103739337819,0.51999998,0.460000008,0.33,0.2,0.0,0.9691644147439836,0
3,139.68243532667626,0.600000024,0.330000013,0.33,0.2,0.0,0.931026094915009,0
0,144.88142413451254,0.639999984,0.300000012,0.0,0.2,0.0,0.9235636327537551,0
-1,157.30393783290822,0.680000008,-0.059999999,0.0,0.2,0.0,0.8299496842348544,0
-2,231.22978544581954,0.720000028,0.090000004,0.0,0.2,0.0,0.8682381935189223,0
2,96.58378163692166,0.800000012,0.280000001,0.0,0.2,0.0,0.9149559943965967,0
1,100.18772016375513,1.0,0.460000008,0.0,0.2,0.0,0.9521744177489122,0
0,140.19776440574495,0.0,0.079999998,0.0,0.2,0.0,0.8691111605693015,0
1,235.04140408009587,0.04,-0.300000012,0.66,0.2,0.0,0.7546680367150916,0
1,251.34964751448334,0.08,-1.330000043,0.66,0.2,0.0,0.4465577101766858,0
1,206.73933970322818,0.119999996,0.479999989,0.66,0.2,0.0,0.9892802047991792,0
1,267.1546173990246,0.159999996,0.479999989,0.66,0.2,0.0,0.9878064798533324,0
1,314.25803863565227,0.200000004,0.200000003,0.66,0.2,0.0,0.9044897820602833,0
1,742.9088719957566,0.239999996,0.109999999,1.0,0.2,0.0,0.8788921431504794,0
1,701.9136323587953,0.28,0.189999998,1.0,0.2,0.0,0.8998245714088404,0
1,546.4710635838512,0.360000016,0.479999989,1.0,0.2,0.0,0.9804191205063011,0
1,413.40914016301514,0.400000004,0.460000008,1.0,0.2,0.0,0.9734072249174601,0
0,174.29437175562603,0.479999988,0.460000008,0.0,0.2,0.0,0.970572425661366,0
-1,256.53474551686446,0.51999998,0.419999987,0.0,0.2,0.0,0.9584541486932557,0
-2,268.52618697168674,0.600000024,0.109999999,0.0,0.2,0.0,0.8755880104325651,0
